title,author,author_bio,writing_location,nationality,active_city,lat,lon,year,field,summary,tags
Like Water for Chocolate 巧克力情人,Laura Esquivel,"墨西哥小说家与编剧(1950-),墨西哥城出身,曾任电视编剧。作品融合饮食、爱情与魔幻现实主义,以本书在国际上掀起拉美女性写作浪潮。","Mexico City, Mexico",Mexico,Mexico City,19.4326,-99.1332,1989,魔幻现实主义,"20世纪初墨西哥革命时期,蒂塔是家中最小的女儿,按家族传统必须终身照顾母亲不得结婚。她与佩德罗相爱,后者只好娶了蒂塔的姐姐罗萨乌拉以接近她。蒂塔在厨房度过余生,她的情感渗透到所做的每一道菜中——婚礼蛋糕让客人哭泣、玫瑰花瓣鹌鹑让吃者燃起欲望。她暗中养育姐姐的孩子、抗争母亲的暴政,几十年后才与佩德罗短暂结合,在狂烈的激情中两人一同烧成灰烬。每章以一道菜的菜谱开始,小说将墨西哥饮食、女性身体与革命历史融为一体,是拉美魔幻现实主义女性书写的代表。",20世纪下半叶; 拉美; 魔幻现实主义; 女性主义; 母女关系; 战争与革命
Owls Do Cry 猫头鹰真的会哭,Janet Frame,"新西兰小说家与诗人(1924-2004),曾被误诊精神分裂被送入精神病院,差点被切除前额叶。作品以诗性语言探讨身份与精神边界。","Levin, New Zealand",New Zealand,Oamaru,-45.0966,170.9714,1957,文学/小说,"新西兰南岛小镇的工人家庭威瑟斯有四个孩子:多娜、弗朗西、托比与黛芙妮。家境贫困,父母粗暴。聪慧敏感的弗朗西在垃圾场失火中丧生,留下家人无法言说的伤痕。多娜外嫁中产,渐渐失去早年的灵性;托比有癫痫,在小镇上挣扎度日;黛芙妮则被诊断为精神分裂送入精神病院,接受电休克治疗。小说以诗化散文、童年游戏的语调,呈现一个家庭被贫困、暴力与精神病四处肢解,是新西兰20世纪文学的奠基之作,半自传地映射弗雷姆自己的精神医疗经历。",20世纪下半叶; 大洋洲; 小说; 精神疾病; 性别暴力; 阶级
The Bone People 骨人,Keri Hulme,"新西兰毛利-苏格兰-英格兰混血小说家(1947-2021),长期独居西海岸,以漂浮书写身份与精神创伤。1985年获布克奖。","Okarito, New Zealand",New Zealand,Okarito,-43.2333,170.1833,1984,文学/小说,"新西兰南岛西海岸,三个孤独的人构成奇特家庭。混血艺术家凯瑞瓦因住在海边塔楼,独居避世。无名失语的小男孩西蒙被海难冲上岸,被毛利劳工乔领养。乔与西蒙的关系充满爱与暴力,他时常酗酒殴打孩子。三人在一连串走访、烹饪、聚餐与冲突中,既互相吸引又互相伤害,直到一场暴力高潮迫使每个人面对自己被殖民历史、丧亲与酗酒留下的创伤。胡尔姆将毛利语、毛利宇宙观与英语长篇结构融合,以一部诗化巨著重新定义新西兰文学,获1985年布克奖。",20世纪下半叶; 大洋洲; 小说; 殖民经验; 性别暴力; 身份认同
The Joys of Motherhood 母亲的欢乐,Buchi Emecheta,"尼日利亚-英国小说家(1944-2017),伊博族出身,16岁结婚,移居伦敦后离婚独自抚养五个孩子,在贫困中开始写作,成为非洲女性主义文学先驱。","London, England",Nigeria,Lagos,6.5246,3.3794,1979,文学/女性主义,"故事横跨殖民时期到尼日利亚独立前后。伊博族女子恩努·埃戈被许配给拉各斯一位铁路工人为妻。她按部就班生育数个孩子,被告知这是女人最大的成就。然而丈夫贫穷无能,孩子接连夭折或忽视她,二战时期家庭陷入饥饿。她为儿子读书去当街头小贩,儿子学成后远赴美国不归。年老的她在路边孤独死去。小说嘲讽性地引用主流社会观念,反讽地呈现传统母职理想如何成为对女性的剥削。是非洲女性主义文学的奠基之作。",20世纪下半叶; 非洲; 女性主义; 母女关系; 婚姻; 殖民经验
Purple Hibiscus 紫木槿,Chimamanda Ngozi Adichie,"尼日利亚小说家与公共知识分子(1977-),先后在美国与尼日利亚生活,作品以非洲历史、女性主义与全球化为核心,是当代非洲英语文学的国际声誉代表。",Nigeria,Nigeria,Enugu,6.4499,7.5105,2003,文学/小说,"15岁的卡姆比利出生于尼日利亚伊博族富裕天主教家庭。父亲尤金是受英国传教士教育的工厂主与报社老板,公开行善,私下却以宗教为名残酷殴打妻子与子女。卡姆比利和哥哥贾贾在恐惧中长大,直到被送到守寡的姑妈艾菲玛家——一位贫穷但温暖的大学教师。在那里他们第一次体验自由、笑声与不同形式的信仰。回家后兄妹精神被永久改变,父亲的施暴最终导致母亲下毒、贾贾顶罪入狱。小说以紫木槿这种罕见花朵象征反叛中的希望,是当代非洲女性成长小说的代表。",21世纪; 非洲; 小说; 女性主义; 母女关系; 婚姻
Half of a Yellow Sun 半轮黄日,Chimamanda Ngozi Adichie,"尼日利亚小说家与公共知识分子(1977-),先后在美国与尼日利亚生活,作品以非洲历史、女性主义与全球化为核心,是当代非洲英语文学的国际声誉代表。",Nigeria/USA,Nigeria,Lagos,6.5244,3.3792,2006,历史小说,"小说以1960年代尼日利亚比夫拉战争为背景,通过三个人物视角展开。乡村男孩乌古韦被送去为大学教授奥登尼博当仆人,后者与情人奥兰娜——出身富家的伊博族美女——同居。奥兰娜的双胞胎姐妹凯内尼则与英国记者理查德相恋。战争爆发,伊博族遭种族清洗,这群人从大学小镇一路撤退,经历饥荒、轰炸、子女失散与道德崩溃。阿迪契以个体命运折射比夫拉战争对一代尼日利亚人的撕裂,被誉为非洲当代历史小说的杰作,获橙子奖。",21世纪; 非洲; 小说; 历史小说; 女性主义; 种族
Kristin Lavransdatter 克丽丝汀·拉夫朗的女儿,Sigrid Undset,"挪威小说家(1882-1949),1928年获诺贝尔文学奖,二战期间因反对纳粹流亡美国。以中世纪挪威三部曲奠定北欧历史小说传统。","Lillehammer, Norway",Norway,Lillehammer,61.1153,10.4663,1922,历史小说,"三部曲以14世纪挪威为背景。出身贵族家庭的少女克丽丝汀被许配给老实的西蒙,却为放荡英俊的骑士厄朗·尼库尔松倾倒,与他私奔结婚,被父亲断绝关系。两人组建家庭,生下七个儿子,但厄朗因政治阴谋失势,家产被没收。克丽丝汀以钢铁般的毅力维持家庭,在黑死病横扫挪威之际照顾病人,最终在修道院去世。翁塞特以严谨的中世纪考据与心理深度,展现一位激情女性在罗马天主教、家族忠诚与个人欲望之间的一生挣扎,被誉为北欧最伟大的历史小说。",20世纪上半叶; 欧洲; 小说; 历史小说; 女性主义; 移民流亡
Selected Poems 自选诗集,Wisława Szymborska,"波兰诗人(1923-2012),1996年获诺贝尔文学奖。一生只发表三百余首诗,以温柔的智性与日常细节,在战后欧洲诗坛独树一帜。","Kraków, Poland",Poland,Kraków,50.0647,19.945,1976,诗歌,"辛波丝卡的诗以日常生活、动物、植物、历史片段、博物馆陈列、个人记忆为题材。她不擅长大词,擅长以恰好的距离把哲学问题打散成日常意象——一颗洋葱里的同心圆、博物馆里被遗忘的女子拖鞋、对昨日新闻的怀疑、对地图的注视。她的诗温和而锋利,反对一切宏大宣传,既不与战后社会主义现实主义合谋,也不沉迷个人哀伤。她的诺奖颁奖词称她为讽刺的写实主义者。本书所收选的诗为她跨越半个世纪的代表作,被译为四十多种语言。",20世纪下半叶; 欧洲; 诗歌; 记忆; 身体与欲望; 自然
Flights 云游,Olga Tokarczuk,"波兰小说家(1962-),心理学训练出身,2018年获诺贝尔文学奖。作品融合星座式结构与神话民间叙事,深刻探讨身体、迁徙、灵魂与历史。","Krajanów, Poland",Poland,Wrocław,50.4825,16.6533,2007,文学/实验,"本书由116段长短不一的文本组成:旅行者的随感、解剖学家的笔记、18世纪标本爱好者的故事、肖邦心脏被姐姐秘密带回波兰的史实、机场酒店的偶遇。托卡尔丘克以星座式结构而非线性叙事,将身体、运动、保存、解剖、迁徙编织成一张网。叙述者奉行人在动中才是活的的理念,反对所有定居与凝固。本书既是当代世界的人类学,也是关于自我无法被钉住的哲思,获国际布克奖,被誉为21世纪欧洲实验小说的代表。",21世纪; 欧洲; 实验文学; 身份认同; 身体与欲望; 神话与民间
Requiem 安魂曲,Anna Akhmatova,"俄罗斯诗人(1889-1966),银色年代象征派代表,丈夫、儿子均被斯大林政权关押或处决。她以诗歌记录大清洗时代的痛苦,是俄罗斯20世纪最伟大的女诗人。","Leningrad, USSR",Russia,Saint Petersburg,59.9311,30.3609,1963,诗歌,"本组诗写于1935-1940年大清洗期间,记录阿赫玛托娃在列宁格勒克列斯特监狱外排队等候探望被囚禁儿子的经历。短小的诗节中,她用极简的俄语呈现一位母亲面对国家暴力的悲恸,既是个人哀歌也是集体证词。开篇序言记录一位排队妇女低声问:你能写出这一切吗?她答:能。诗中描绘探监队伍、被流放的丈夫、对耶稣母亲的呼应,以及对未来纪念碑的设想。诗集只能在地下秘密流传,数十年后才正式出版,被誉为20世纪俄罗斯最重要的政治诗篇与女性母性史诗。",20世纪下半叶; 欧洲; 诗歌; 女性主义; 母女关系; 婚姻
So Long a Letter 一封长信,Mariama Bâ,"塞内加尔教师与小说家(1929-1981),四个孩子的母亲,信奉伊斯兰女权主义。在生命最后几年出版小说,以一部短篇为非洲法语女性文学奠基。","Dakar, Senegal",Senegal,Dakar,14.7167,-17.4677,1979,文学/书信体,"塞内加尔教师拉玛图莱在丈夫莫多突然去世后,写下一封长信给挚友阿伊萨图。信中她回忆与莫多30年的婚姻、四个孩子、共同的政治理想,也直面莫多在中年时秘密娶第二个妻子——女儿的同学的丑闻。她对照自己的隐忍与好友阿伊萨图的决绝离婚,审视西非现代化进程中伊斯兰一夫多妻制度对女性的伤害。小说以法语书信体写就,既忠实于穆斯林传统又对其父权结构提出深刻批判,是塞内加尔女性文学与非洲法语女性主义的奠基之作。",20世纪下半叶; 非洲; 书信体; 女性主义; 母女关系; 婚姻
Burger's Daughter 伯格的女儿,Nadine Gordimer,"南非小说家(1923-2014),1991年获诺贝尔文学奖。一生反对南非种族隔离制度,与曼德拉等领导人有友谊,作品深入剖析种族、政治与道德。","Johannesburg, South Africa",South Africa,Johannesburg,-26.2041,28.0473,1979,文学/政治,"罗莎·伯格的父亲莱昂内尔·伯格是著名的南非白人共产党人,因反种族隔离运动死于狱中。年轻的罗莎在父亲遗产的政治阴影下成长,渴望摆脱被赋予的革命者女儿身份。她前往法国与已逃亡的旧情人相会,与他在欧洲的政治圈子周旋,但她最终回到南非,选择参与黑人意识运动,在种族隔离的暴力中找到属于自己的政治承担。本书在南非曾遭禁,以一名白人左翼女性的内心冲突,深刻呈现反种族隔离运动中的代际、性别与道德选择。",20世纪下半叶; 非洲; 政治; 女性主义; 种族; 战争与革命
The Vegetarian 素食者,Han Kang 韩江,"韩国小说家(1970-),2024年获诺贝尔文学奖,首位获此奖的亚洲女性。父亲也是知名作家。作品以诗化散文与身体政治书写历史暴力。","Seoul, South Korea",South Korea,Seoul,37.5665,126.978,2007,文学/小说,"韩国普通家庭主妇英惠一夜做了一个充满血腥与杀戮的梦后,突然宣布不再吃肉,清空冰箱里所有肉食。家人尤其是父亲与丈夫极力反对,父亲在家宴上当众将猪肉强塞进她嘴里,她以割腕回应。她渐渐拒绝穿衣、说话、进食,只想成为一棵树。小说分三章,由丈夫、姐夫、姐姐三人视角讲述,展现她身体与精神的逐步消解。韩江以冷峻而抒情的语言,将一个女人对暴力世界的彻底拒绝,化为对韩国父权与历史创伤的隐喻,获国际布克奖。",21世纪; 亚洲; 小说; 女性主义; 婚姻; 性别暴力
Please Look After Mom 请照顾我妈妈,Kyung-sook Shin 申京淑,"韩国小说家(1963-),从乡村到首尔的工人作家出身,以朴素抒情的写作呈现现代化韩国家庭代际经验。","Seoul, South Korea",South Korea,Seoul,37.5667,126.9783,2008,文学/小说,"60多岁的农村母亲朴小女在首尔火车站走散失踪,子女们登报寻人无果。小说以女儿、长子、丈夫和母亲本人四个视角倒叙,慢慢拼凑出这位文盲乡村女性一生的轮廓:为家庭日夜操劳、不识字、长期头痛、被城市与子女的现代生活遗忘。每个家人都在回忆中意识到自己对母亲了解多么贫乏。最后一章母亲本人的声音以诗意方式出现。小说在亚洲销量百万,以一位失踪母亲折射现代化韩国家庭对传统母职的辜负,引起东亚读者的强烈共鸣。",21世纪; 亚洲; 小说; 女性主义; 母女关系; 婚姻
"Kim Jiyoung, Born 1982 82年生的金智英",Cho Nam-Joo 赵南柱,"韩国当代作家(1978-),前电视编剧。2016年以一部短小说引爆东亚女性主义讨论,小说在韩、日、中三国引起社会现象级反响。","Seoul, South Korea",South Korea,Seoul,37.567,126.9786,2016,文学/女性主义,"33岁的韩国女性金智英是家庭主妇,有一个3岁女儿。她突然开始出现奇怪症状——以已故母亲、好友、姨妈的口吻说话。丈夫带她看精神科。小说以精神科医生记录的口吻,以社会学般冷静的笔触回溯智英从出生到现在的全部经历:重男轻女的家庭、学校里的性骚扰、求职遭遇的性别歧视、产假与职场歧视、育儿压力、被陌生男人偷拍的恐惧、被丈夫家庭忽视。小说写实地集合了同代韩国女性的共同经验,出版后销量逾百万,引发东亚跨国家女性主义讨论。",21世纪; 亚洲; 女性主义; 母女关系; 婚姻; 身体与欲望
The Time of the Doves 钻石广场,Mercè Rodoreda,"西班牙加泰罗尼亚小说家(1908-1983),西班牙内战后流亡日内瓦数十年。以加泰罗尼亚语写作,被誉为20世纪最重要的加泰罗尼亚女作家。","Geneva, Switzerland",Spain (Catalonia),Barcelona,41.3851,2.1734,1962,文学/小说,"故事发生在1930年代的巴塞罗那。年轻的科洛梅塔在钻石广场的舞会上遇见基米,她最终嫁给他,以新名字鸽子开始婚姻。基米沉迷于养鸽,把家里改成鸽舍,孩子在鸽羽中长大。西班牙内战爆发,基米参加共和军一去不返,科洛梅塔与两个孩子在巴塞罗那饥饿中挣扎,几近毒杀全家。一位善良的杂货店主收留她,带她走出阴影。多年后她回到钻石广场,在屋顶上重新认识自己的人生。罗多雷达以加泰罗尼亚日常语言,书写一个普通女性在战争与父权下的内心史,是加泰罗尼亚战后文学的高峰。",20世纪下半叶; 欧洲; 小说; 女性主义; 婚姻; 移民流亡
The Wonderful Adventures of Nils 尼尔斯骑鹅历险记,Selma Lagerlöf,"瑞典小说家(1858-1940),1909年成为首位获诺贝尔文学奖的女性。以民间传说与瑞典地理为题材,作品兼具童趣与神话深度。","Mårbacka, Sweden",Sweden,Sunne,59.7479,13.066,1907,儿童文学,"本书原为瑞典小学地理教科书,拉格洛芙以叙事方式介绍祖国地理。淘气的农家男孩尼尔斯虐待小动物,被精灵变成只有拇指大小的人。他骑上家中大白鹅,加入大雁迁徙的队伍,飞越整个瑞典——从南部斯科讷的麦田、瑞典中部湖泊、北部拉普兰冰雪、到北极圈外的森林。在漫长旅程中他学习自然、动物友谊与勇气,最终回到家恢复人形。本书既是一部充满民间传说与地理知识的儿童经典,也以鸟群视角呈现一整个国家的自然景观,被译为数十种语言。",20世纪上半叶; 欧洲; 儿童文学; 女性主义; 身体与欲望; 自然
The Forty Rules of Love 爱的四十法则,Elif Shafak,"土耳其-英国小说家(1971-),双语写作,作品融合苏菲神秘主义、女性主义与世界主义,曾因小说内容被土耳其当局起诉。","London, England",Turkey/UK,Istanbul,41.0082,28.9784,2010,文学/历史,"21世纪初美国马萨诸塞州的中年家庭主妇艾拉受出版社委托,审阅一本名为甜亵渎的小说。这本书讲述13世纪苏菲诗人鲁米与流浪苦修士沙姆斯·塔布里齐的精神之爱与四十条爱的法则,以及沙姆斯被人谋杀的秘密。艾拉读着小说,与远在荷兰的作家通信,逐渐被沙姆斯的智慧打动,反思自己平淡婚姻与失去的自我。两条线索——古代波斯神秘主义与当代美国家庭——彼此呼应。小说将苏菲诗学化为现代女性精神觉醒的工具,在土耳其与英语世界畅销百万。",21世纪; 亚洲; 女性主义; 婚姻; 身份认同; 身体与欲望
A Vindication of the Rights of Woman 女权辩护,Mary Wollstonecraft,"英国哲学家、女权先驱(1759-1797),启蒙时代最重要的政治思想家之一,主张女性应享有平等教育与公民权利。其女即《弗兰肯斯坦》作者玛丽·雪莱。","London, England",United Kingdom,London,51.5076,-0.1282,1792,哲学/政治,"本书是对18世纪欧洲否定女性理性能力的政治传统的全面反驳。沃斯通克拉夫特批评卢梭等人将女性塑造为感性、依附性存在的教育理论,主张男女理性本无差异,女性的所谓劣势源自被剥夺的教育与社会机会。她呼吁国家提供男女共同的公立教育,主张女性应有经济与公民独立,并将婚姻视为友谊与德性的契约而非主从关系。本书是现代女性主义政治哲学的奠基之作,深刻影响其后两个世纪的女权运动。",近代早期; 欧洲; 哲学; 政治; 女性主义; 婚姻
Pride and Prejudice 傲慢与偏见,Jane Austen,"英国摄政时期小说家(1775-1817),以反讽笔触与细腻心理描写描绘乡绅阶层生活与婚姻习俗,被誉为英国小说的奠基者之一,代表英国文学的精致传统。","Chawton, England",United Kingdom,Chawton,51.181,-0.987,1813,文学/小说,"讲述班纳特家五姐妹中聪慧的伊丽莎白与傲慢富有的达西先生从误解到相爱的故事。小说以18世纪末英国乡绅社会为背景,通过婚恋情节揭示阶级、财产、女性地位与个人尊严的张力。班纳特太太急于将女儿嫁出,长女简与宾利情投意合,二女儿伊丽莎白因初识时的傲慢偏见与达西互生嫌隙。剧情推进中,达西的真诚与伊丽莎白的清醒判断逐渐战胜误会,两人在自我反省中走向理解。作品以幽默、讽刺与精准对白,成为英国现实主义小说的典范。",19世纪; 欧洲; 小说; 女性主义; 婚姻; 阶级
Frankenstein 弗兰肯斯坦,Mary Shelley,"英国浪漫主义作家(1797-1851),母亲是女权先驱玛丽·沃斯通克拉夫特,丈夫为诗人雪莱。她18岁开始创作《弗兰肯斯坦》,被誉为科幻小说鼻祖,作品兼具哥特氛围与哲学反思。","Geneva, Switzerland",United Kingdom,London,46.2044,6.1432,1818,文学/科幻,"瑞士青年科学家维克托·弗兰肯斯坦痴迷于探索生命奥秘,利用尸块拼成的巨人,用电流赋予其生命。怪物虽善良敏感,却因外貌丑陋而遭世人唾弃。他孤独地学习语言与情感,渴望被理解,最终对造物主提出寻求伴侣的恳求。弗兰肯斯坦拒绝并毁掉了正在制造的女伴,怪物愤而展开复仇,杀害他的亲友。两人最终在北极冰原上互相追逐至毁灭。小说由书信体嵌套叙事,探讨科学的伦理边界、被弃者的孤独与造物者的责任,开启了现代科幻文学的传统。",19世纪; 欧洲; 科幻; 女性主义; 母女关系; 婚姻
Jane Eyre 简·爱,Charlotte Brontë,"英国维多利亚时代小说家(1816-1855),勃朗特三姐妹长姐,生于约克郡牧师家庭。以《简·爱》开创女性第一人称叙事的先河,深刻表达个体自由与精神平等。","Haworth, England",United Kingdom,Haworth,53.83,-1.957,1847,文学/小说,"孤女简·爱在严苛的劳渥德学校长大成人后,前往桑菲尔德庄园担任家庭教师,与庄园主罗切斯特相爱。婚礼当日她发现罗切斯特已有疯妻被囚阁楼,毅然离开。流落荒原后被表兄妹收留,经历传教士牧师的求婚试炼后,凭借精神感召回到已遭大火、双目失明的罗切斯特身边。小说通过简的内心独白,展现一位出身卑微却拥有强烈尊严感的女性如何在爱情、宗教与道德压力下坚守自我、争取精神独立,被视为女性主义文学的先声。",19世纪; 欧洲; 小说; 女性主义; 移民流亡; 乡野
Wuthering Heights 呼啸山庄,Emily Brontë,"英国小说家与诗人(1818-1848),勃朗特三姐妹次女,性格孤僻深邃。一生仅完成一部小说与少量诗歌,以阴郁狂野的想象力震撼19世纪英国文坛。","Haworth, England",United Kingdom,Haworth,53.8305,-1.9575,1847,文学/小说,"故事发生在约克郡荒原。弃儿希思克利夫被恩肖一家收养,与凯瑟琳青梅竹马,灵魂相契。凯瑟琳为社会地位嫁给富家子埃德加,希思克利夫离家发财后归来,以冷酷手段对两个家族展开跨越两代的复仇。凯瑟琳病逝后,他对其女儿与凯蒂仍施以折磨,直到自身在思念中走向毁灭。小说以多层嵌套叙事、暴烈情感与神秘氛围,打破维多利亚小说的温情传统,被誉为英语文学最具激情的作品之一。",19世纪; 欧洲; 小说; 乡野; 身体与欲望; 家族史
Mary Barton 玛丽·巴顿,Elizabeth Gaskell,"英国维多利亚时代小说家(1810-1865),牧师之妻,生活于工业城市曼彻斯特,以社会问题小说与同情工人阶级的写作著称,与狄更斯齐名。","Manchester, England",United Kingdom,Manchester,53.4808,-2.2426,1848,文学/社会,"故事发生在1840年代工业危机中的曼彻斯特。工人之女玛丽·巴顿在工厂主之子卡森与朴实工人吉姆·威尔逊之间徘徊。她的父亲约翰·巴顿因女儿被诱惑、好友饿死、子女夭折而对资本家深恶痛绝,加入宪章派,最终参与刺杀年轻卡森。玛丽得知吉姆被错认为凶手,奔走作证,在法庭上揭穿真相,并在道德困境中迫使父亲坦白。盖斯凯尔以亲历的工业贫困写出一部充满悲悯与社会良知的小说,呼吁阶级和解,成为维多利亚社会问题小说的代表。",19世纪; 欧洲; 社会写实; 都市; 阶级
Middlemarch 米德尔马契,George Eliot (Mary Ann Evans),"英国维多利亚小说家(1819-1880),本名玛丽·安·埃文斯,以男性笔名发表作品。学识渊博,作品以心理深度与道德探讨著称,被誉为英国小说家中最具哲学头脑者。","London, England",United Kingdom,London,51.5074,-0.1278,1871,文学/小说,"以虚构的英格兰中部小镇米德尔马契为舞台,描绘1832年改革法案前后乡镇社会的复杂生态。理想主义少女多萝西娅嫁给年迈学者卡苏朋,期望参与其学术抱负,却发现婚姻是精神牢笼。年轻医生利德盖特怀抱医学改革理想来到小镇,娶了虚荣的罗莎蒙德,陷入债务与平庸的泥潭。小说交织数条线索,刻画野心、婚姻、宗教、政治改革等主题,展现个体理想如何在社会网络与琐碎现实中受挫与重塑,被誉为英语最伟大的小说之一。",19世纪; 欧洲; 小说; 女性主义; 婚姻; 宗教
Mrs Dalloway 达洛维夫人,Virginia Woolf,"英国现代主义作家与批评家(1882-1941),布鲁姆斯伯里集团核心成员,首创意识流叙事。作品深刻探讨女性身份、时间、心灵与历史,在文学与女性主义思想上均影响深远。","London, England",United Kingdom,London,51.5074,-0.1278,1925,文学/小说,"小说浓缩于1923年6月伦敦的一天,描写议员夫人克拉丽莎·达洛维筹备晚宴的全过程。叙事在街头、花店、公园、客厅间游移,通过意识流呈现克拉丽莎对青春、旧爱彼得、女友萨利的回忆,以及对衰老与死亡的思索。同时,饱受战争创伤的退伍军人塞普蒂默斯在同一城市走向自杀,两条线索在晚宴消息中交汇。伍尔夫以瞬间体验包容人生整体,将时钟时间与心理时间并置,呈现现代都市灵魂的孤独、回忆与生命礼赞,确立现代主义小说的语言革命。",20世纪上半叶; 欧洲; 小说; 女性主义; 战争与革命; 精神疾病
A Room of One's Own 一间自己的房间,Virginia Woolf,"英国现代主义作家与批评家(1882-1941),布鲁姆斯伯里集团核心成员,首创意识流叙事。作品深刻探讨女性身份、时间、心灵与历史,在文学与女性主义思想上均影响深远。","London, England",United Kingdom,London,51.5076,-0.128,1929,文学批评/女性主义,"本书由伍尔夫1928年在剑桥两所女子学院的演讲扩展而成。她以虚构叙述者漫游虚构的牛桥大学为线索,提出著名论断:女性若要写作,必须拥有钱和一间自己的房间。她追溯女性在历史上被剥夺教育、财产与自主权的处境,虚构出莎士比亚那位同样有才华的妹妹朱迪丝,想象她在那个时代必然走向毁灭的命运。文章融合论述、虚构、讽刺与私人记忆,讨论文学传统中女性的缺席与艰难自我表达,成为现代女性主义批评的奠基文本。",20世纪上半叶; 欧洲; 女性主义; 身份认同; 记忆; 身体与欲望
Rebecca 蝴蝶梦,Daphne du Maurier,"英国小说家(1907-1989),生于伦敦戏剧世家,长居康沃尔郡。以哥特悬疑与心理小说著称,《蝴蝶梦》与多部短篇被希区柯克改编为经典电影。","Fowey, Cornwall",United Kingdom,Cornwall,50.336,-4.6398,1938,文学/哥特,"年轻而平凡的女主角在蒙特卡洛邂逅鳏夫马克西姆·德温特,匆匆结婚后回到他位于康沃尔的庄园曼陀丽。庄园仍处处弥漫着前妻吕蓓卡的影子:她的衣物、笔迹、画像,以及对她忠心耿耿、敌视新太太的女管家丹弗斯太太。新婚妻子在阴影中渐渐怀疑自己永远无法替代吕蓓卡。直到一艘沉船被打捞,真相揭露——吕蓓卡并非完美,马克西姆其实在多年前杀了她。小说以叙述者无名为隐喻,探讨女性身份的脆弱与父权庄园的阴森,成为20世纪英国哥特悬疑的经典。",20世纪上半叶; 欧洲; 哥特; 女性主义; 婚姻; 都市
And Then There Were None 无人生还,Agatha Christie,"英国侦探小说家(1890-1976),作品总销量超过20亿册,塑造波洛与马普尔小姐两大经典侦探形象,被誉为推理小说女王。","Devon, England",United Kingdom,London,50.4429,-3.5588,1939,侦探/推理,"十个互不相识的人被神秘人U.N.Owen邀请到德文郡海岸一座孤岛的别墅度假。第一晚,一段录音指控每人都犯过未被法律审判的杀人罪。当晚一位客人离奇死亡。客人们逐一按照童谣《十个小印第安人》的方式死去:鞋柜里的瓷人偶在每次死亡后被打碎一个。岛上风暴,与大陆隔绝,他们意识到凶手就在十人之中。直到最后一人也死亡。警方在调查时一筹莫展,只在岛上找到瓶中信揭示真相。本书是侦探史上销量最高的小说,以封闭空间凶手设定开创了一种类型典范。",20世纪上半叶; 欧洲; 推理
The Golden Notebook 金色笔记,Doris Lessing,"英国小说家(1919-2013),生于伊朗,在津巴布韦长大,后定居伦敦。2007年获诺贝尔文学奖,作品涵盖殖民经验、政治、女性意识与精神探索,极具实验性。","London, England",United Kingdom,London,51.5078,-0.1284,1962,文学/女性主义,"小说讲述独立女性安娜·伍尔夫的精神危机。她是一位单身母亲、作家与前共产党员,通过四本不同颜色的笔记本记录生活的不同侧面:黑色记非洲殖民经历,红色记政治幻灭,黄色是创作中的小说,蓝色是日记。当四本笔记的世界濒临崩溃,她以一本金色笔记尝试将分裂的自我重新整合。莱辛以多重叙述结构,呈现20世纪中叶知识女性在政治、性、母职、艺术与精神病之间的撕扯,被视为20世纪最具影响力的女性主义小说之一。",20世纪下半叶; 欧洲; 女性主义; 母女关系; 殖民经验; 精神疾病
The Driver's Seat 司机座位,Muriel Spark,"苏格兰小说家(1918-2006),曾任战时情报员与编辑,1950年代皈依天主教。作品以冷峻幽默与极简风格刻画恶与命运,代表苏格兰20世纪小说高度。","Rome, Italy",United Kingdom,Edinburgh,41.9028,12.4964,1970,文学/中篇,"在丹麦哥本哈根工作的中年女文员丽兹,在一次南欧短假中显得焦躁古怪。她在飞机上、餐馆里反复寻找她声称的男友——一个她明显并不认识的人。叙事以未来式预告:她将在第二天早晨被发现死于公园。读者跟随她在罗马的一系列怪异遭遇——挑剔的衣服颜色、与男乘客的对话、与售货员的冲突——慢慢意识到她在精心策划自己的谋杀,寻找一位能完成这件事的男子。斯帕克以极简冷峻的反侦探小说语言,探讨现代女性对生命与死亡的极端自我掌控。",20世纪下半叶; 欧洲; 中篇小说; 女性主义; 身份认同; 身体与欲望
Possession 占有,A.S. Byatt,"英国小说家与评论家(1936-2023),出生于约克郡知识分子家庭,曾任教于伦敦大学。作品融合维多利亚研究与现代爱情,以《占有》获1990年布克奖。","London, England",United Kingdom,London,51.508,-0.129,1990,文学/学院派,"当代年轻文学研究者罗兰·米歇尔在伦敦图书馆研究维多利亚诗人兰道夫·艾什时,偶然发现两封未寄出的情书,似乎暗示艾什与女诗人克里斯特贝尔·拉莫特有秘密关系。他与拉莫特研究者莫德·贝利合作,顺着两位诗人的旧信、日记、诗作展开侦查,发现一段被掩埋的私奔与孕育私生女的爱情故事。当代两位学者也在追查中互生情愫。小说以双线结构、伪造的维多利亚书信与诗作,讨论学术、欲望、文学占有与历史想象,被誉为后现代学院小说典范。",20世纪下半叶; 欧洲; 学院派; 都市; 爱情; 身体与欲望
